class,bruise_bleed,has_ring,season,habitat,cap_diameter,cap_shape,cap_color,gill_color,stem_height,stem_width,stem_color
0,0,1,3,woods,16.3,flat,red,white,18.25,16.66,white
0,0,1,1,woods,13.36,convex,orange,white,17.26,17.08,white
0,0,1,1,woods,14.29,convex,orange,white,17.87,18.0,white
0,0,1,1,woods,12.29,convex,orange,white,16.84,16.26,white
0,0,1,3,woods,13.66,flat,orange,white,17.73,17.29,white
0,0,1,1,woods,14.51,flat,red,white,16.7,15.98,white
0,0,1,3,woods,14.55,flat,red,white,16.94,17.9,white
0,0,1,1,woods,14.97,flat,red,white,18.45,17.51,white
0,0,1,3,woods,13.06,convex,orange,white,15.72,16.19,white
0,0,1,1,woods,12.85,convex,orange,white,17.35,16.64,white
0,0,1,3,woods,14.0,flat,red,white,16.57,16.04,white
0,0,1,3,woods,13.93,flat,red,white,16.65,16.86,white
0,0,1,3,woods,17.91,flat,orange,white,17.63,18.15,white
0,0,1,1,woods,14.43,flat,red,white,17.41,18.24,white
0,0,1,3,woods,13.43,flat,red,white,16.13,16.25,white
0,0,1,2,woods,13.04,flat,orange,white,17.99,17.49,white
0,0,1,3,woods,17.1,convex,red,white,18.96,18.94,white
0,0,1,3,woods,15.07,flat,red,white,18.33,18.88,white
0,0,1,3,woods,15.03,flat,red,white,18.81,18.36,white
0,0,1,2,woods,16.37,flat,red,white,17.96,18.69,white
0,0,1,1,woods,11.02,flat,orange,white,15.98,16.02,white
0,0,1,1,woods,17.61,flat,red,white,18.35,17.91,white
0,0,1,3,woods,17.54,flat,orange,white,18.2,17.76,white
0,0,1,2,woods,16.77,convex,orange,white,18.02,19.96,white
0,0,1,2,woods,16.21,flat,orange,white,17.29,17.29,white
0,0,1,2,woods,14.94,convex,red,white,17.5,18.26,white
0,0,1,3,woods,14.74,flat,orange,white,18.42,18.5,white
0,0,1,1,woods,15.97,convex,orange,white,16.42,16.89,white
0,0,1,1,woods,13.56,convex,red,white,17.3,17.96,white
0,0,1,1,woods,15.13,convex,red,white,18.75,18.33,white
0,0,1,1,woods,15.42,flat,orange,white,18.34,18.24,white
0,0,1,2,woods,13.49,convex,orange,white,17.6,17.44,white
0,0,1,2,woods,15.71,flat,red,white,17.91,18.23,white
0,0,1,1,woods,14.96,flat,red,white,17.96,17.37,white
0,0,1,3,woods,15.34,flat,orange,white,17.74,18.62,white
0,0,1,2,woods,12.26,convex,orange,white,18.14,17.58,white
0,0,1,3,woods,13.46,flat,orange,white,16.92,15.3,white
0,0,1,1,woods,16.59,flat,orange,white,18.93,18.51,white
0,0,1,2,woods,14.98,convex,red,white,17.35,17.7,white
0,0,1,1,woods,13.7,flat,red,white,17.04,17.74,white
0,0,1,1,woods,14.92,convex,red,white,18.07,17.02,white
0,0,1,1,woods,12.0,flat,red,white,15.9,16.23,white
0,0,1,3,woods,14.75,flat,red,white,16.76,17.24,white
0,0,1,3,woods,16.6,flat,red,white,18.46,18.38,white
0,0,1,1,woods,11.77,convex,orange,white,16.96,15.57,white
0,0,1,3,woods,16.37,flat,orange,white,18.21,18.8,white
0,0,1,3,woods,13.89,flat,red,white,17.83,17.66,white
0,0,1,2,woods,11.71,flat,red,white,16.47,16.1,white
0,0,1,1,woods,15.5,flat,orange,white,17.92,18.09,white
0,0,1,1,woods,15.93,convex,red,white,16.86,16.9,white
0,0,1,2,woods,17.73,flat,red,white,19.19,18.16,white
0,0,1,2,woods,17.23,flat,red,white,17.45,17.79,white
0,0,1,1,woods,16.76,flat,orange,white,18.81,18.35,white
0,0,1,3,woods,14.14,convex,orange,white,16.89,17.97,white
0,0,1,2,woods,12.86,convex,orange,white,16.4,16.98,white
0,0,1,2,woods,16.79,flat,orange,white,18.81,18.09,white
0,0,1,2,woods,14.18,flat,red,white,17.87,18.2,white
0,0,1,3,woods,13.56,convex,red,white,17.14,16.74,white
0,0,1,2,woods,14.32,convex,red,white,16.45,15.77,white
0,0,1,3,woods,13.64,convex,red,white,16.74,16.93,white
0,0,1,3,woods,13.49,convex,orange,white,16.73,17.51,white
0,0,1,2,woods,14.7,convex,red,white,16.84,16.67,white
0,0,1,3,woods,13.33,flat,orange,white,19.25,18.76,white
0,0,1,3,woods,12.87,flat,red,white,16.52,17.5,white
0,0,1,1,woods,14.36,convex,red,white,17.87,17.87,white
0,0,1,3,woods,14.39,flat,red,white,17.55,17.24,white
0,0,1,3,woods,14.17,convex,red,white,17.47,17.07,white
0,0,1,1,woods,16.4,flat,orange,white,17.92,17.83,white
0,0,1,3,woods,12.31,flat,red,white,17.02,16.01,white
0,0,1,3,woods,14.77,convex,red,white,16.61,17.06,white
0,0,1,1,woods,15.02,flat,red,white,16.89,17.26,white
0,0,1,1,woods,13.9,convex,orange,white,18.1,17.7,white
0,0,1,1,woods,17.13,convex,red,white,16.46,16.83,white
0,0,1,2,woods,13.68,flat,orange,white,18.22,17.47,white
0,0,1,3,woods,15.0,convex,red,white,18.12,17.13,white
0,0,1,2,woods,13.5,convex,red,white,15.51,15.17,white
0,0,1,1,woods,13.94,convex,red,white,17.65,17.49,white
0,0,1,1,woods,14.62,flat,red,white,17.41,17.65,white
0,0,1,3,woods,13.76,flat,orange,white,17.89,17.87,white
0,0,1,1,woods,16.71,convex,red,white,17.87,17.29,white
0,0,1,1,woods,15.5,convex,red,white,17.83,18.79,white
0,0,1,2,woods,14.77,convex,red,white,16.72,16.51,white
0,0,1,1,woods,18.14,convex,orange,white,18.49,19.13,white
0,0,1,3,woods,15.78,convex,orange,white,18.71,18.83,white
0,0,1,2,woods,17.25,convex,orange,white,17.71,18.05,white
0,0,1,3,woods,16.58,flat,orange,white,18.74,18.32,white
0,0,1,1,woods,13.06,convex,red,white,18.18,19.12,white
0,0,1,3,woods,15.48,convex,orange,white,16.79,16.48,white
0,0,1,3,woods,16.1,flat,orange,white,17.66,17.28,white
0,0,1,3,woods,15.57,convex,red,white,18.51,18.18,white
0,0,1,2,woods,15.02,convex,orange,white,16.27,16.81,white
0,0,1,2,woods,14.13,convex,red,white,17.28,16.55,white
0,0,1,3,woods,16.03,flat,orange,white,18.22,18.37,white
0,0,1,2,woods,13.82,convex,orange,white,15.69,15.73,white
0,0,1,1,woods,15.89,convex,orange,white,17.82,18.03,white
0,0,1,1,woods,15.0,flat,orange,white,18.14,18.2,white
0,0,1,3,woods,17.22,flat,red,white,18.26,18.23,white
0,0,1,3,woods,16.76,convex,orange,white,16.78,16.07,white
0,0,1,3,woods,16.97,convex,orange,white,17.37,16.59,white
0,0,1,1,woods,17.87,flat,red,white,19.03,18.39,white
0,0,1,2,woods,12.96,flat,red,white,16.0,16.6,white
0,0,1,3,woods,15.59,convex,orange,white,18.76,18.58,white
0,0,1,3,woods,14.37,convex,red,white,18.04,17.27,white
0,0,1,3,woods,14.8,convex,red,white,18.13,17.66,white
0,0,1,3,woods,13.42,flat,orange,white,17.86,17.84,white
0,0,1,1,woods,13.44,flat,red,white,16.74,16.54,white
0,0,1,3,woods,15.64,convex,orange,white,18.05,17.33,white
0,0,1,2,woods,15.16,convex,orange,white,17.94,17.35,white
0,0,1,2,woods,14.24,flat,orange,white,16.7,17.07,white
0,0,1,3,woods,13.27,convex,red,white,17.5,17.83,white
0,0,1,2,woods,14.33,convex,orange,white,17.27,17.45,white
0,0,1,1,woods,18.59,convex,orange,white,18.3,18.82,white
0,0,1,2,woods,16.92,convex,red,white,18.35,18.14,white
0,0,1,3,woods,14.63,flat,orange,white,16.62,15.93,white
0,0,1,3,woods,14.71,flat,red,white,18.65,17.98,white
0,0,1,1,woods,14.84,convex,red,white,18.23,18.18,white
0,0,1,1,woods,14.1,flat,orange,white,16.49,17.92,white
0,0,1,2,woods,11.69,flat,red,white,17.18,17.11,white
0,0,1,1,woods,13.63,flat,red,white,17.04,16.96,white
0,0,1,3,woods,15.29,flat,red,white,17.75,16.37,white
0,0,1,2,woods,15.57,convex,red,white,18.24,18.41,white
0,0,1,1,woods,17.58,convex,orange,white,16.86,17.49,white
0,0,1,3,woods,15.4,flat,red,white,16.93,17.25,white
0,0,1,1,woods,13.64,flat,red,white,16.64,17.59,white
0,0,1,1,woods,17.25,convex,red,white,17.8,17.3,white
0,0,1,3,woods,17.84,flat,orange,white,18.83,18.54,white
0,0,1,3,woods,15.48,convex,red,white,17.41,17.4,white
0,0,1,1,woods,14.57,flat,orange,white,18.08,18.49,white
0,0,1,2,woods,14.45,convex,red,white,17.63,17.66,white
0,0,1,3,woods,15.79,flat,red,white,18.85,18.13,white
0,0,1,2,woods,17.38,convex,orange,white,19.27,18.81,white
0,0,1,3,woods,14.91,flat,orange,white,18.38,16.07,white
0,0,1,3,woods,16.98,flat,orange,white,17.16,16.65,white
0,0,1,3,woods,13.73,flat,orange,white,16.38,16.97,white
0,0,1,2,woods,14.99,flat,orange,white,17.19,16.21,white
0,0,1,2,woods,15.01,convex,orange,white,18.01,17.33,white
0,0,1,1,woods,15.84,convex,orange,white,18.54,18.47,white
0,0,1,2,woods,16.62,convex,orange,white,18.54,18.01,white
0,0,1,2,woods,11.29,flat,orange,white,16.6,16.69,white
0,0,1,1,woods,13.95,flat,orange,white,17.08,15.9,white
0,0,1,1,woods,14.27,convex,red,white,17.35,16.87,white
0,0,1,1,woods,17.38,flat,orange,white,17.53,18.3,white
0,0,1,2,woods,13.05,convex,orange,white,17.87,17.76,white
0,0,1,1,woods,14.45,flat,red,white,17.43,17.44,white
0,0,1,2,woods,15.88,flat,orange,white,17.73,19.16,white
0,0,1,3,woods,15.28,flat,orange,white,17.97,17.87,white
0,0,1,2,woods,14.68,convex,orange,white,16.19,16.4,white
0,0,1,1,woods,14.39,flat,red,white,16.99,16.08,white
0,0,1,2,woods,16.16,flat,orange,white,17.93,17.41,white
0,0,1,1,woods,15.47,flat,red,white,17.56,18.38,white
0,0,1,3,woods,14.05,convex,orange,white,16.85,17.07,white
0,0,1,1,woods,15.02,flat,orange,white,16.62,16.6,white
0,0,1,1,woods,17.17,convex,orange,white,18.52,18.04,white
0,0,1,2,woods,15.01,flat,orange,white,17.62,17.39,white
0,0,1,1,woods,16.22,convex,orange,white,18.56,18.15,white
0,0,1,1,woods,14.94,flat,red,white,16.6,16.85,white
0,0,1,3,woods,13.22,flat,orange,white,17.72,16.43,white
0,0,1,1,woods,13.66,convex,orange,white,16.81,16.98,white
0,0,1,1,woods,18.31,flat,orange,white,19.29,18.94,white
0,0,1,2,woods,11.68,flat,orange,white,17.31,16.62,white
0,0,1,3,woods,13.45,flat,orange,white,15.84,16.16,white
0,0,1,3,woods,14.42,convex,red,white,17.03,16.57,white
0,0,1,1,woods,15.6,flat,red,white,18.06,18.83,white
0,0,1,3,woods,10.58,convex,orange,white,16.33,15.53,white
0,0,1,3,woods,17.58,convex,red,white,19.35,19.66,white
0,0,1,3,woods,15.6,convex,orange,white,17.83,16.89,white
0,0,1,2,woods,16.68,convex,red,white,17.19,17.11,white
0,0,1,2,woods,15.66,flat,orange,white,18.24,18.33,white
0,0,1,2,woods,12.18,flat,orange,white,16.56,16.18,white
0,0,1,2,woods,15.71,flat,red,white,18.02,17.98,white
0,0,1,3,woods,14.73,convex,red,white,16.95,17.14,white
0,0,1,1,woods,12.42,flat,red,white,18.01,17.71,white
0,0,1,1,woods,18.68,convex,orange,white,18.63,19.09,white
0,0,1,2,woods,16.82,flat,orange,white,17.78,18.03,white
0,0,1,3,woods,15.35,flat,red,white,17.27,17.54,white
0,0,1,3,woods,14.34,flat,orange,white,16.02,15.99,white
0,0,1,1,woods,13.99,convex,red,white,15.42,15.85,white
0,0,1,2,woods,16.46,flat,orange,white,17.29,16.9,white
0,0,1,1,woods,15.72,flat,red,white,17.88,16.98,white
0,0,1,2,woods,15.73,convex,orange,white,18.6,17.93,white
0,0,1,3,woods,14.81,convex,red,white,18.52,18.29,white
0,0,1,2,woods,16.51,convex,red,white,17.86,17.96,white
0,0,1,2,woods,14.05,convex,red,white,17.88,17.45,white
0,0,1,1,woods,13.23,flat,red,white,16.41,16.39,white
0,0,1,2,woods,13.68,convex,red,white,18.15,18.21,white
0,0,1,3,woods,15.42,flat,red,white,18.08,17.78,white
0,0,1,1,woods,15.37,flat,orange,white,17.01,17.29,white
0,0,1,2,woods,17.31,convex,red,white,16.94,18.47,white
0,0,1,3,woods,14.84,flat,orange,white,16.79,18.0,white
0,0,1,3,woods,13.95,flat,orange,white,17.11,16.94,white
0,0,1,1,woods,13.43,flat,red,white,16.88,17.61,white
0,0,1,1,woods,16.39,convex,red,white,18.94,18.58,white
0,0,1,1,woods,11.7,convex,orange,white,16.01,16.33,white
0,0,1,3,woods,12.6,convex,orange,white,17.81,15.5,white
0,0,1,1,woods,16.16,flat,orange,white,16.73,16.79,white
0,0,1,2,woods,12.67,convex,orange,white,15.68,15.29,white
0,0,1,1,woods,15.52,convex,orange,white,16.95,17.44,white
0,0,1,3,woods,15.26,convex,orange,white,18.99,18.03,white
0,0,1,1,woods,16.2,convex,red,white,17.39,17.53,white
0,0,1,2,woods,16.82,flat,red,white,17.81,16.9,white
0,0,1,1,woods,15.27,flat,red,white,17.17,16.97,white
0,0,1,3,woods,12.1,flat,orange,white,16.25,17.06,white
0,0,1,1,woods,14.28,convex,red,white,17.77,17.12,white
0,0,1,2,woods,15.03,flat,orange,white,16.71,16.74,white
0,0,1,3,woods,18.1,convex,red,white,18.35,18.7,white
0,0,1,3,woods,16.69,flat,orange,white,17.0,17.45,white
0,0,1,1,woods,11.3,convex,orange,white,15.69,16.34,white
0,0,1,2,woods,14.66,flat,red,white,16.73,15.27,white
0,0,1,1,woods,13.99,flat,red,white,16.71,16.23,white
0,0,1,2,woods,13.62,flat,red,white,17.6,17.3,white
0,0,1,3,woods,14.49,flat,red,white,16.77,17.22,white
0,0,1,3,woods,14.16,convex,red,white,16.44,17.34,white
0,0,1,2,woods,18.89,convex,orange,white,18.23,17.94,white
0,0,1,1,woods,13.03,convex,orange,white,16.72,16.85,white
0,0,1,1,woods,12.8,convex,red,white,16.48,16.24,white
0,0,1,1,woods,13.7,convex,red,white,17.84,17.91,white
0,0,1,1,woods,14.42,convex,orange,white,18.2,18.06,white
0,0,1,1,woods,14.45,convex,orange,white,17.44,17.25,white
0,0,1,2,woods,16.11,flat,red,white,17.95,18.61,white
0,0,1,3,woods,15.61,convex,red,white,17.62,17.79,white
0,0,1,3,woods,14.93,convex,orange,white,17.71,18.23,white
0,0,1,1,woods,15.58,flat,red,white,18.14,17.96,white
0,0,1,2,woods,15.98,convex,red,white,18.08,18.66,white
0,0,1,1,woods,15.62,flat,orange,white,18.48,17.75,white
0,0,1,2,woods,16.79,convex,red,white,17.98,16.76,white
0,0,1,1,woods,13.6,flat,orange,white,16.32,16.09,white
0,0,1,3,woods,15.3,flat,red,white,19.02,18.84,white
0,0,1,2,woods,16.08,flat,orange,white,17.33,18.09,white
0,0,1,3,woods,13.43,convex,red,white,17.1,17.25,white
0,0,1,2,woods,16.24,convex,orange,white,17.45,17.78,white
0,0,1,1,woods,16.78,flat,orange,white,17.81,17.92,white
0,0,1,2,woods,16.26,flat,orange,white,17.31,17.3,white
0,0,1,3,woods,12.59,convex,red,white,15.47,15.77,white
0,0,1,2,woods,16.68,convex,red,white,19.01,17.55,white
0,0,1,2,woods,14.89,flat,orange,white,18.57,17.73,white
0,0,1,3,woods,14.72,convex,orange,white,17.66,18.03,white
0,0,1,3,woods,13.59,convex,orange,white,17.57,18.17,white
0,0,1,1,woods,16.07,convex,orange,white,17.23,17.76,white
0,0,1,2,woods,6.87,convex,brown,white,6.88,13.64,white
0,0,1,2,woods,8.59,spherical,brown,white,9.15,17.34,white
0,0,1,1,woods,5.95,spherical,brown,white,7.54,12.73,white
0,0,1,2,woods,6.51,convex,brown,white,6.8,12.92,white
0,0,1,2,woods,7.66,convex,brown,white,8.55,14.98,white
0,0,1,1,woods,6.4,convex,brown,white,7.68,14.68,white
0,0,1,1,woods,7.06,spherical,brown,white,7.26,12.03,white
0,0,1,2,woods,6.32,convex,brown,white,7.66,15.84,white
0,0,1,1,woods,8.8,convex,brown,white,8.44,16.56,white
0,0,1,1,woods,7.5,spherical,brown,white,6.37,11.75,white
0,0,1,1,woods,6.44,spherical,brown,white,7.61,13.59,white
0,0,1,2,woods,6.64,spherical,brown,white,7.14,12.48,white
0,0,1,1,woods,6.93,convex,brown,white,7.99,14.23,white
0,0,1,2,woods,8.23,convex,brown,white,8.2,15.67,white
0,0,1,2,woods,7.37,convex,brown,white,7.8,13.6,white
0,0,1,1,woods,8.49,spherical,brown,white,8.35,15.7,white
0,0,1,2,woods,7.05,convex,brown,white,8.63,16.79,white
0,0,1,1,woods,5.92,convex,brown,white,7.47,12.44,white
0,0,1,1,woods,8.91,convex,brown,white,9.11,16.66,white
0,0,1,1,woods,8.71,convex,brown,white,8.8,16.46,white
0,0,1,1,woods,8.79,convex,brown,white,8.71,16.44,white
0,0,1,2,woods,7.09,spherical,brown,white,7.97,11.93,white
0,0,1,1,woods,8.08,convex,brown,white,8.22,16.67,white
0,0,1,1,woods,7.63,convex,brown,white,7.97,13.44,white
0,0,1,1,woods,6.39,convex,brown,white,8.03,13.86,white
0,0,1,1,woods,6.86,convex,brown,white,8.04,16.3,white
0,0,1,2,woods,8.85,spherical,brown,white,8.58,15.18,white
0,0,1,2,woods,7.73,spherical,brown,white,9.09,16.3,white
0,0,1,1,woods,5.84,convex,brown,white,8.14,14.47,white
0,0,1,2,woods,6.5,spherical,brown,white,8.46,16.14,white
0,0,1,1,woods,6.58,convex,brown,white,7.82,14.05,white
0,0,1,2,woods,7.2,convex,brown,white,7.69,15.52,white
0,0,1,2,woods,5.55,convex,brown,white,7.19,12.25,white
0,0,1,2,woods,6.63,convex,brown,white,7.95,15.63,white
0,0,1,1,woods,6.83,convex,brown,white,7.8,16.88,white
0,0,1,2,woods,6.3,spherical,brown,white,7.86,13.85,white
0,0,1,1,woods,8.82,convex,brown,white,7.84,13.76,white
0,0,1,1,woods,7.33,convex,brown,white,8.29,14.74,white
0,0,1,2,woods,8.5,convex,brown,white,6.69,13.83,white
0,0,1,1,woods,8.07,convex,brown,white,7.98,15.37,white
0,0,1,1,woods,6.85,convex,brown,white,7.83,13.03,white
0,0,1,2,woods,7.44,spherical,brown,white,8.58,15.59,white
0,0,1,2,woods,7.19,convex,brown,white,7.24,17.2,white
0,0,1,2,woods,7.07,convex,brown,white,8.82,18.08,white
0,0,1,2,woods,7.81,convex,brown,white,8.12,14.57,white
0,0,1,2,woods,6.08,convex,brown,white,7.71,14.72,white
0,0,1,2,woods,8.01,convex,brown,white,8.81,14.45,white
0,0,1,1,woods,7.5,spherical,brown,white,8.88,15.87,white
0,0,1,1,woods,8.47,convex,brown,white,9.3,16.31,white
0,0,1,2,woods,6.36,convex,brown,white,6.01,12.19,white
0,0,1,1,woods,7.53,spherical,brown,white,8.3,15.86,white
0,0,1,1,woods,7.62,spherical,brown,white,8.19,15.52,white
0,0,1,1,woods,6.18,spherical,brown,white,7.98,14.28,white
0,0,1,2,woods,6.67,spherical,brown,white,9.1,15.35,white
0,0,1,2,woods,5.61,convex,brown,white,7.23,10.48,white
0,0,1,2,woods,8.08,convex,brown,white,7.87,14.49,white
0,0,1,1,woods,6.37,spherical,brown,white,8.65,16.68,white
0,0,1,1,woods,6.25,spherical,brown,white,6.99,14.21,white
0,0,1,2,woods,6.8,convex,brown,white,7.24,12.94,white
0,0,1,2,woods,6.71,convex,brown,white,7.09,14.96,white
0,0,1,2,woods,8.38,convex,brown,white,8.16,15.38,white
0,0,1,1,woods,6.52,convex,brown,white,7.29,12.43,white
0,0,1,2,woods,5.73,spherical,brown,white,6.83,14.08,white
0,0,1,1,woods,8.03,convex,brown,white,7.82,13.89,white
0,0,1,2,woods,8.25,convex,brown,white,7.05,14.58,white
0,0,1,1,woods,9.0,spherical,brown,white,8.79,16.28,white
0,0,1,1,woods,7.97,spherical,brown,white,8.0,13.26,white
0,0,1,1,woods,7.45,convex,brown,white,8.56,14.67,white
0,0,1,2,woods,6.27,spherical,brown,white,8.18,13.41,white
0,0,1,2,woods,7.38,spherical,brown,white,8.33,12.98,white
0,0,1,2,woods,7.02,spherical,brown,white,7.75,15.3,white
